Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.5,3067.0,2.0,1.0,1.0,202.0,,,Yarra,-377.996,1.449.984,Northern Metropolitan,4019.0
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,04/02/2016,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-378.079,1.449.934,Northern Metropolitan,4019.0
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,04/03/2017,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-378.093,1.449.944,Northern Metropolitan,4019.0
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,04/03/2017,2.5,3067.0,3.0,2.0,1.0,94.0,,,Yarra,-377.969,1.449.969,Northern Metropolitan,4019.0
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,04/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-378.072,1.449.941,Northern Metropolitan,4019.0
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,07/05/2016,2.5,3067.0,2.0,1.0,0.0,181.0,,,Yarra,-378.041,1.449.953,Northern Metropolitan,4019.0
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,07/05/2016,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-378.024,1.449.993,Northern Metropolitan,4019.0
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,1.449.954,Northern Metropolitan,4019.0
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-378.008,1.449.973,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,1.449.989,Northern Metropolitan,4019.0
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,,,Yarra,-37.811,1.450.067,Northern Metropolitan,4019.0
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-378.085,1.449.964,Northern Metropolitan,4019.0
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,2.0,1.0,1.0,195.0,,,Yarra,-378.084,1.449.973,Northern Metropolitan,4019.0
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-378.016,1.449.988,Northern Metropolitan,4019.0
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,1.449.976,Northern Metropolitan,4019.0
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-378.056,144.993,Northern Metropolitan,4019.0
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-378.021,1.449.965,Northern Metropolitan,4019.0
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.5,3067.0,3.0,1.0,0.0,183.0,,,Yarra,-378.022,1.449.975,Northern Metropolitan,4019.0
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-378.011,1.450.004,Northern Metropolitan,4019.0
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-378.073,1.449.952,Northern Metropolitan,4019.0
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra,-378.093,1.449.959,Northern Metropolitan,4019.0
Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-378.015,1.449.972,Northern Metropolitan,4019.0
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-378.079,1.449.977,Northern Metropolitan,4019.0
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-378.016,1.449.988,Northern Metropolitan,4019.0
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-378.017,1.450.001,Northern Metropolitan,4019.0
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-378.005,1.449.952,Northern Metropolitan,4019.0
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-377.994,1.449.965,Northern Metropolitan,4019.0
Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,1.449.943,Northern Metropolitan,4019.0
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-378.007,1.449.958,Northern Metropolitan,4019.0
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-378.055,1.449.961,Northern Metropolitan,4019.0
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-378.016,1.449.956,Northern Metropolitan,4019.0
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-378.022,1.449.954,Northern Metropolitan,4019.0
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-378.021,1.449.976,Northern Metropolitan,4019.0
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-378.086,1.449.946,Northern Metropolitan,4019.0
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,03/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-377.203,1.448.755,Western Metropolitan,3464.0
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,04/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-377.203,1.448.755,Western Metropolitan,3464.0
Airport West,23 Hart St,2,h,603000.0,S,Nelson,04/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-377.294,144.888,Western Metropolitan,3464.0
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,04/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-377.218,1.448.837,Western Metropolitan,3464.0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,04/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-377.273,1.448.744,Western Metropolitan,3464.0
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,04/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-377.215,1.448.864,Western Metropolitan,3464.0
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,06/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-377.173,1.448.872,Western Metropolitan,3464.0
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,06/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-377.259,1.448.792,Western Metropolitan,3464.0
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,07/05/2016,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-377.239,1.448.735,Western Metropolitan,3464.0
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,07/05/2016,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-377.216,144.871,Western Metropolitan,3464.0
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-377.298,1.448.883,Western Metropolitan,3464.0
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-377.234,1.448.792,Western Metropolitan,3464.0
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-377.249,1.448.728,Western Metropolitan,3464.0
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-377.217,1.448.783,Western Metropolitan,3464.0
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-377.302,1.448.855,Western Metropolitan,3464.0
Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley,-377.177,1.448.787,Western Metropolitan,3464.0
Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,3.0,2.0,2.0,596.0,,,Moonee Valley,-377.248,1.448.699,Western Metropolitan,3464.0
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-377.186,144.876,Western Metropolitan,3464.0
Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-377.218,1.448.863,Western Metropolitan,3464.0
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,3.0,2.0,2.0,657.0,,,Moonee Valley,-377.269,1.448.742,Western Metropolitan,3464.0
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-377.187,1.448.765,Western Metropolitan,3464.0
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-377.173,1.448.796,Western Metropolitan,3464.0
Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,3.0,1.0,1.0,775.0,,,Moonee Valley,-377.231,1.448.835,Western Metropolitan,3464.0
